"func","def","fungen","pkg","pag","fungen_bad","sinpagina"
"tkselection.to","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkset","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tksize","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkStartGUI","Tcl/Tk GUI startup","tkStartGUI","tcltk","1812",,
"tktag.add","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.bind","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.cget","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.configure","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.delete","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.lower","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.names","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.nextrange","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.prevrange","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.raise","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.ranges","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktag.remove","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktext","Tk widgets","TkWidgets","tcltk","1815",,
"tktitle","Tk non-widget commands","TkCommands","tcltk","1806",,
"tktitle&lt;-","Tk non-widget commands","TkCommands","tcltk","1806",,
"tktoggle","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tktoplevel","Tk widgets","TkWidgets","tcltk","1815",,
"tktype","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkunpost","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkwait.variable","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwait.visibility","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwait.window","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwidget","Tk widgets","TkWidgets","tcltk","1815",,
"TkWidgetcmds","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"TkWidgets","Tk widgets","TkWidgets","tcltk","1815",,
"tkwindow.cget","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkwindow.configure","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkwindow.create","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkwindow.names","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkwinfo","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.aspect","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.client","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.colormapwindows","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.command","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.deiconify","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.focusmodel","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.frame","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.geometry","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.grid","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.group","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.iconbitmap","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.iconify","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.iconmask","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.iconname","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.iconposition","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.iconwindow","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.maxsize","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.minsize","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.overrideredirect","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.positionfrom","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.protocol","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.resizable","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.sizefrom","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.state","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.title","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.transient","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkwm.withdraw","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkXselection.clear","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkXselection.get","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkXselection.handle","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkXselection.own","Tk non-widget commands","TkCommands","tcltk","1806",,
"tkxview","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkxview.moveto","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkxview.scroll","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkyposition","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkyview","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkyview.moveto","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tkyview.scroll","Tk widget commands","TkWidgetcmds","tcltk","1812",,
"tk_choose.dir","Choose a Folder Interactively","tk_choose.dir","tcltk","1817",,
"tk_choose.files","Choose a List of Files Interactively","tk_choose.files","tcltk","1818",,
"tk_messageBox","Tk Message Box","tk_messageBox","tcltk","1819",,
"tk_select.list","Select Items from a List","tk_select.list","tcltk","1819",,
"ttkbutton","Tk widgets","TkWidgets","tcltk","1815",,
"ttkcheckbutton","Tk widgets","TkWidgets","tcltk","1815",,
"ttkcombobox","Tk widgets","TkWidgets","tcltk","1815",,
"ttkentry","Tk widgets","TkWidgets","tcltk","1815",,
"ttkframe","Tk widgets","TkWidgets","tcltk","1815",,
"ttklabel","Tk widgets","TkWidgets","tcltk","1815",,
"ttklabelframe","Tk widgets","TkWidgets","tcltk","1815",,
"ttkmenubutton","Tk widgets","TkWidgets","tcltk","1815",,
"ttknotebook","Tk widgets","TkWidgets","tcltk","1815",,
"ttkpanedwindow","Tk widgets","TkWidgets","tcltk","1815",,
"ttkprogressbar","Tk widgets","TkWidgets","tcltk","1815",,
"ttkradiobutton","Tk widgets","TkWidgets","tcltk","1815",,
"ttkscale","Tk widgets","TkWidgets","tcltk","1815",,
"ttkscrollbar","Tk widgets","TkWidgets","tcltk","1815",,
"ttkseparator","Tk widgets","TkWidgets","tcltk","1815",,
"ttksizegrip","Tk widgets","TkWidgets","tcltk","1815",,
"ttkspinbox","Tk widgets","TkWidgets","tcltk","1815",,
"ttktreeview","Tk widgets","TkWidgets","tcltk","1815",,
"$.tclArray","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
"$&lt;-.tclArray","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tcl","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tcl.args","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tcl.args.objv","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tcl.callback","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tcl.objv","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tk.ID","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tk.newwin","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".Tk.subwin","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
".TkRoot","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
"[[.tclArray","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
"[[&lt;-.tclArray","Low-level Tcl/Tk Interface","TclInterface","tcltk","1801",,
"tools-package","Tools for Package Development","tools-package","tools","1821",,
"add_datalist","Add a 'datalist' File to a Source Package","add_datalist","tools","1822",,
"Adobe_glyphs","Conversion Tables between Character Sets","charsets","tools","1829",,
"as.character.Rd","Parse an Rd File","parse_Rd","tools","1862",,
"assertCondition","Asserting Error Conditions","assertCondition","tools","1823",,
"assertError","Asserting Error Conditions","assertCondition","tools","1823",,
"assertWarning","Asserting Error Conditions","assertCondition","tools","1823",,
"bibstyle","Select or Define a Bibliography Style","bibstyle","tools","1824",,
"buildVignette","Build One Vignette","buildVignette","tools","1826",,
"buildVignettes","List and Build Package Vignettes","buildVignettes","tools","1827",,
"charset_to_Unicode","Conversion Tables between Character Sets","charsets","tools","1829",,
"checkDocFiles","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"checkDocStyle","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"checkFF","Check Foreign Function Calls","checkFF","tools","1829",,
"checkMD5sums","Check and Create MD5 Checksum Files","checkMD5sums","tools","1831",,
"checkPoFile","Check Translation Files for Inconsistent Format Strings","checkPoFiles","tools","1831",,
"checkPoFiles","Check Translation Files for Inconsistent Format Strings","checkPoFiles","tools","1831",,
"checkRd","Check an Rd Object","checkRd","tools","1833",,
"checkRdaFiles","Report on Details of Saved Images or Re-saves them","checkRdaFiles","tools","1835",,
"checkRdContents","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"checkReplaceFuns","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"checkS3methods","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"checkTnF","Check R Packages or Code for T/F","checkTnF","tools","1836",,
"checkVignettes","Check Package Vignettes","checkVignettes","tools","1837",,
"check_packages_in_dir","Check Source Packages and Their Reverse Dependencies","check_packages_in_dir","tools","1838",,
"check_packages_in_dir_changes","Check Source Packages and Their Reverse Dependencies","check_packages_in_dir","tools","1838",,
"check_packages_in_dir_details","Check Source Packages and Their Reverse Dependencies","check_packages_in_dir","tools","1838",,
"codoc","Check Code/Documentation Consistency","codoc","tools","1840",,
"codocClasses","Check Code/Documentation Consistency","codoc","tools","1840",,
"codocData","Check Code/Documentation Consistency","codoc","tools","1840",,
"compactPDF","Compact PDF Files","compactPDF","tools","1842",,
"CRAN_check_details","CRAN Package Repository Tools","CRANtools","tools","1843",,
"CRAN_check_issues","CRAN Package Repository Tools","CRANtools","tools","1843",,
"CRAN_check_results","CRAN Package Repository Tools","CRANtools","tools","1843",,
"CRAN_memtest_notes","CRAN Package Repository Tools","CRANtools","tools","1843",,
"CRAN_package_db","CRAN Package Repository Tools","CRANtools","tools","1843",,
"delimMatch","Delimited Pattern Matching","delimMatch","tools","1845",,
"deparseLatex","Experimental Functions to Work with LaTeX Code","parseLatex","tools","1861",,
"dependsOnPkgs","Find Reverse Dependencies","dependsOnPkgs","tools","1846",,
"encoded_text_to_latex","Translate non-ASCII Text to LaTeX Escapes","encoded","tools","62",,
"file_ext","File Utilities","fileutils","tools","1849",,
"file_path_as_absolute","File Utilities","fileutils","tools","1849",,
"file_path_sans_ext","File Utilities","fileutils","tools","1849",,
"findHTMLlinks","Collect HTML Links from Package Documentation","HTMLlinks","tools","1853",,
"find_gs_cmd","Find a GhostScript Executable","find_gs_cmd","tools","1850",,
"format.compactPDF","Compact PDF Files","compactPDF","tools","1842",,
"getBibstyle","Select or Define a Bibliography Style","bibstyle","tools","1824",,
"getDepList","Deprecated Objects in Package 'tools'","tools-deprecated","tools","1882",,
"getVignetteInfo","Get Information on Installed Vignettes","getVignetteInfo","tools","1851",,
"GSC","Find a GhostScript Executable","find_gs_cmd","tools","1850",,
"help.ports","Start the Dynamic HTML Help System","startDynamicHelp","tools","1877",,
"HTMLheader","Generate a Standard HTML Header for R Help","HTMLheader","tools","1852",,
"installFoundDepends","Deprecated Objects in Package 'tools'","tools-deprecated","tools","1882",,
"langElts","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"latexToUtf8","Experimental Functions to Work with LaTeX Code","parseLatex","tools","1861",,
"list_files_with_exts","File Utilities","fileutils","tools","1849",,
"list_files_with_type","File Utilities","fileutils","tools","1849",,
"loadPkgRdMacros","Load User-defined Rd Help System Macros","loadRdMacros","tools","1853",,
"loadRdMacros","Load User-defined Rd Help System Macros","loadRdMacros","tools","1853",,
"makevars_site","User and Site Compilation Variables","makevars","tools","1855",,
"makevars_user","User and Site Compilation Variables","makevars","tools","1855",,
"make_translations_pkg","Package the Current Translations in the R Sources","make_translations_pkg","tools","1855",,
"md5sum","Compute MD5 Checksums","md5sum","tools","1856",,
"nonS3methods","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"package.dependencies","Deprecated Objects in Package 'tools'","tools-deprecated","tools","1882",,
"package_dependencies","Computations on the Dependency Hierarchy of Packages","package_dependencies","tools","1857",,
"package_native_routine_registration_skeleton","Write Skeleton for Adding Native Routine Registration to a Package","package_native_routine_registration_skeleton","tools","1858",,
"parseLatex","Experimental Functions to Work with LaTeX Code","parseLatex","tools","1861",,
"parse_Rd","Parse an Rd File","parse_Rd","tools","1862",,
"pkgDepends","Deprecated Objects in Package 'tools'","tools-deprecated","tools","1882",,
"pkgVignettes","List and Build Package Vignettes","buildVignettes","tools","1827",,
"print.checkDocFiles","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"print.checkDocStyle","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"print.checkFF","Check Foreign Function Calls","checkFF","tools","1829",,
"print.checkRdContents","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"print.checkReplaceFuns","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"print.checkS3methods","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"print.checkTnF","Check R Packages or Code for T/F","checkTnF","tools","1836",,
"print.checkVignettes","Check Package Vignettes","checkVignettes","tools","1837",,
"print.codoc","Check Code/Documentation Consistency","codoc","tools","1840",,
"print.codocClasses","Check Code/Documentation Consistency","codoc","tools","1840",,
"print.codocData","Check Code/Documentation Consistency","codoc","tools","1840",,
"print.Rd","Parse an Rd File","parse_Rd","tools","1862",,
"print.undoc","Find Undocumented Objects","undoc","tools","1884",,
"pskill","Kill a Process","pskill","tools","1863",,
"psnice","Get or Set the Priority (Niceness) of a Process","psnice","tools","1865",,
"QC","QC Checks for R Code and/or Documentation","QC","tools","1866",,
"Rcmd","R CMD Interface","Rcmd","tools","1867",,
"Rd2ex","Rd Converters","Rd2HTML","tools","1868",,
"Rd2HTML","Rd Converters","Rd2HTML","tools","1868",,
"Rd2latex","Rd Converters","Rd2HTML","tools","1868",,
"Rd2txt","Rd Converters","Rd2HTML","tools","1868",,
"Rd2txt_options","Set Formatting Options for Text Help","Rd2txt_options","tools","1870",,
"Rdiff","Difference R Output Files","Rdiff","tools","1872",,
"Rdindex","Generate Index from Rd Files","Rdindex","tools","1873",,
"RdTextFilter","Select Text in an Rd File","RdTextFilter","tools","1873",,
"Rd_db","Rd Utilities","Rdutils","tools","1875",,
"read.00Index","Read 00Index-style Files","read.00Index","tools","1876",,
"resaveRdaFiles","Report on Details of Saved Images or Re-saves them","checkRdaFiles","tools","1835",,
"R_DISABLE_HTTPD","Start the Dynamic HTML Help System","startDynamicHelp","tools","1877",,
"R_GSCMD","Find a GhostScript Executable","find_gs_cmd","tools","1850",,
"R_user_dir","R User Directories","userdir","tools","1889",,
"showNonASCII","Pick Out Non-ASCII Characters","showNonASCII","tools","1876",,
"showNonASCIIfile","Pick Out Non-ASCII Characters","showNonASCII","tools","1876",,
"SIGCHLD","Kill a Process","pskill","tools","1863",,
"SIGCONT","Kill a Process","pskill","tools","1863",,
"SIGHUP","Kill a Process","pskill","tools","1863",,
"SIGINT","Kill a Process","pskill","tools","1863",,
"SIGKILL","Kill a Process","pskill","tools","1863",,
"SIGQUIT","Kill a Process","pskill","tools","1863",,
"SIGSTOP","Kill a Process","pskill","tools","1863",,
"SIGTERM","Kill a Process","pskill","tools","1863",,
"SIGTSTP","Kill a Process","pskill","tools","1863",,
"SIGUSR1","Kill a Process","pskill","tools","1863",,
"SIGUSR2","Kill a Process","pskill","tools","1863",,
"startDynamicHelp","Start the Dynamic HTML Help System","startDynamicHelp","tools","1877",,
"summarize_check_packages_in_dir_depends","Check Source Packages and Their Reverse Dependencies","check_packages_in_dir","tools","1838",,
"summarize_check_packages_in_dir_results","Check Source Packages and Their Reverse Dependencies","check_packages_in_dir","tools","1838",,
"summarize_check_packages_in_dir_timings","Check Source Packages and Their Reverse Dependencies","check_packages_in_dir","tools","1838",,
"summarize_CRAN_check_status","CRAN Package Repository Tools","CRANtools","tools","1843",,
"SweaveTeXFilter","Strip R Code out of Sweave File","SweaveTeXFilter","tools","1878",,
"testInstalledBasic","Test Installed Packages","testInstalledPackage","tools","1879",,
"testInstalledPackage","Test Installed Packages","testInstalledPackage","tools","1879",,
"testInstalledPackages","Test Installed Packages","testInstalledPackage","tools","1879",,
"TEST_MC_CORES","Test Installed Packages","testInstalledPackage","tools","1879",,
"texi2dvi","Compile LaTeX Files","texi2dvi","tools","1880",,
"texi2pdf","Compile LaTeX Files","texi2dvi","tools","1880",,
"toHTML","Display an Object in HTML","toHTML","tools","1881",,
"toHTML.news_db","Display an Object in HTML","toHTML","tools","1881",,
"toHTML.packageIQR","Display an Object in HTML","toHTML","tools","1881",,
"tools","Tools for Package Development","tools-package","tools","1821",,
"tools-deprecated","Deprecated Objects in Package 'tools'","tools-deprecated","tools","1882",,
"toRd","Generic Function to Convert Object to a Fragment of Rd Code","toRd","tools","1883",,
"toRd.bibentry","Generic Function to Convert Object to a Fragment of Rd Code","toRd","tools","1883",,
"toRd.default","Generic Function to Convert Object to a Fragment of Rd Code","toRd","tools","1883",,
"toTitleCase","Convert Titles to Title Case","toTitleCase","tools","1884",,
"undoc","Find Undocumented Objects","undoc","tools","1884",,
"update_PACKAGES","Update Existing PACKAGES Files","updatePACKAGES","tools","1357",,
"update_pkg_po","Prepare Translations for a Package","update_pkg_po","tools","1887",,
"vignetteDepends","Deprecated Objects in Package 'tools'","tools-deprecated","tools","1882",,
"vignetteEngine","Set or Get a Vignette Processing Engine","vignetteEngine","tools","1889",,
"vignetteInfo","Basic Information about a Vignette","vignetteInfo","tools","1891",,
"write_PACKAGES","Generate PACKAGES Files","writePACKAGES","tools","1357",,
"xgettext","Extract Translatable Messages from R Files in a Package","xgettext","tools","1894",,
"xgettext2pot","Extract Translatable Messages from R Files in a Package","xgettext","tools","1894",,
"xngettext","Extract Translatable Messages from R Files in a Package","xgettext","tools","1894",,
".print.via.format","Printing Utilities",".print.via.format","tools","1821",,
"utils-package","The R Utils Package","utils-package","utils","1897",,
"adist","Approximate String Distances","adist","utils","1897",,
"alarm","Alert the User","alarm","utils","1899",,
"apropos","Find Objects by (Partial) Name","apropos","utils","1900",,
"aregexec","Approximate String Match Positions","aregexec","utils","1901",,
"argsAnywhere","Retrieve an R Object, Including from a Namespace","getAnywhere","utils","1970",,
"arrangeWindows","Rearrange Windows on MS Windows","arrangeWindows","utils","1902",,
"as.character.person","Persons","person","utils","2029",,
"as.person","Persons","person","utils","2029",,
"as.personList","Persons","person","utils","2029",,
"as.relistable","Allow Re-Listing an unlist()ed Object","relist","utils","2058",,
"as.roman","Roman Numerals","roman","utils","2063",,
"asDateBuilt","Package Description","packageDescription","utils","2024",,
"askYesNo","Ask a Yes/No Question","askYesNo","utils","1904",,
"aspell","Spell Check Interface","aspell","utils","1905",,
"aspell-utils","Spell Check Utilities","aspell-utils","utils","1907",,
"aspell_package_C_files","Spell Check Utilities","aspell-utils","utils","1907",,
"aspell_package_Rd_files","Spell Check Utilities","aspell-utils","utils","1907",,
"aspell_package_R_files","Spell Check Utilities","aspell-utils","utils","1907",,
"aspell_package_vignettes","Spell Check Utilities","aspell-utils","utils","1907",,
"aspell_write_personal_dictionary_file","Spell Check Utilities","aspell-utils","utils","1907",,
"assignInMyNamespace","Utility Functions for Developing Namespaces","getFromNamespace","utils","1971",,
"assignInNamespace","Utility Functions for Developing Namespaces","getFromNamespace","utils","1971",,
"available.packages","List Available Packages at CRAN-like Repositories","available.packages","utils","1908",,
"BATCH","Batch Execution of R","BATCH","utils","1911",,
"bibentry","Bibliography Entries","bibentry","utils","1912",,
"browseEnv","Browse Objects in Environment","browseEnv","utils","1916",,
"browseURL","Load URL into an HTML Browser","browseURL","utils","1917",,
"browseVignettes","List Vignettes in an HTML Browser","browseVignettes","utils","1919",,
"bug.report","Send a Bug Report","bug.report","utils","1920",,
"build","Utilities for Building and Checking Add-on Packages","PkgUtils","utils","2032",,
"c.person","Persons","person","utils","2029",,
"capture.output","Send Output to a Character String or File","capture.output","utils","1922",,
"changedFiles","Detect which Files Have Changed","changedFiles","utils","1923",,
"charClass","Character Classification","charClass","utils","1925",,
"check","Utilities for Building and Checking Add-on Packages","PkgUtils","utils","2032",,
"checkCRAN","Managing Repository Mirrors","mirrorAdmin","utils","2015",,
"choose.dir","Choose a Folder Interactively on MS Windows","choose.dir","utils","1927",,
"choose.files","Choose a List of Files Interactively on MS Windows","choose.files","utils","1928",,
"chooseBioCmirror","Select a Bioconductor Mirror","chooseBioCmirror","utils","1929",,
"chooseCRANmirror","Select a CRAN Mirror","chooseCRANmirror","utils","1930",,
"CITATION","Citing R and R Packages in Publications","citation","utils","1931",,
"citation","Citing R and R Packages in Publications","citation","utils","1931",,
"cite","Cite a Bibliography Entry","cite","utils","1932",,
"citeNatbib","Cite a Bibliography Entry","cite","utils","1932",,
"citEntry","Bibliography Entries (Older Interface)","citEntry","utils","1935",,
"citFooter","Bibliography Entries (Older Interface)","citEntry","utils","1935",,
"citHeader","Bibliography Entries (Older Interface)","citEntry","utils","1935",,
"clipboard","Read/Write to/from the Clipboard in MS Windows","clipboard","utils","1936",,
"close.socket","Close a Socket","close.socket","utils","1937",,
"close.txtProgressBar","Text Progress Bar","txtProgressBar","utils","2106",,
"close.winProgressBar","Progress Bars under MS Windows","winProgressBar","utils","2124",,
"clrhash","Hash Tables (Experimental)","hashtab","utils","1980",,
"combn","Generate All Combinations of n Elements, Taken m at a Time","combn","utils","1938",,
"compareVersion","Compare Two Package Version Numbers","compareVersion","utils","1939",,
"COMPILE","Compile Files for Use with R on Unix-alikes","COMPILE","utils","1940",,
"completion","A Completion Generator for R","rcompgen","utils","2040",,
"contrib.url","Find Appropriate Paths in CRAN-like Repositories","contrib.url","utils","1941",,
"count.fields","Count the Number of Fields per Line","count.fields","utils","1941",,
"create.post","Ancillary Function for Preparing Emails and Postings","create.post","utils","1942",,
"data","Data Sets","data","utils","1944",,
"data.entry","Spreadsheet Interface for Entering Data","dataentry","utils","1946",,
"dataentry","Spreadsheet Interface for Entering Data","dataentry","utils","1946",,
"de","Spreadsheet Interface for Entering Data","dataentry","utils","1946",,
"debugcall","Debug a Call","debugcall","utils","1948",,
"debugger","Post-Mortem Debugging","debugger","utils","1949",,
"demo","Demonstrations of R Functionality","demo","utils","1951",,
"DLL.version","DLL Version Information on MS Windows","DLL.version","utils","1953",,
"download.file","Download File from the Internet","download.file","utils","1953",,
"download.packages","Download Packages from CRAN-like Repositories","download.packages","utils","1957",,
"dump.frames","Post-Mortem Debugging","debugger","utils","1949",,
"edit","Invoke a Text Editor","edit","utils","1958",,
"edit.data.frame","Edit Data Frames and Matrices","edit.data.frame","utils","1960",,
"edit.vignette","View, List or Get R Source of Package Vignettes","vignette","utils","2118",,
"emacs","Invoke a Text Editor","edit","utils","1958",,
"example","Run an Examples Section from the Online Help","example","utils","1961",,
"file.edit","Edit One or More Files","file.edit","utils","1963",,
"fileSnapshot","Detect which Files Have Changed","changedFiles","utils","1923",,
"file_test","Shell-style Tests on Files","filetest","utils","595",,
"Filters","Choose a List of Files Interactively on MS Windows","choose.files","utils","1928",,
"find","Find Objects by (Partial) Name","apropos","utils","1900",,
"findLineNum","Find the Location of a Line of Source Code, or Set a Breakpoint There","findLineNum","utils","1966",,
"fix","Fix an Object","fix","utils","1967",,
"fixInNamespace","Utility Functions for Developing Namespaces","getFromNamespace","utils","1971",,
"flush.console","Flush Output to a Console","flush.console","utils","1968",,
"format.bibentry","Bibliography Entries","bibentry","utils","1912",,
"format.citation","Bibliography Entries","bibentry","utils","1912",,
"format.hashtab","Hash Tables (Experimental)","hashtab","utils","1980",,
"format.MethodsFunction","List Methods for S3 Generic Functions or Classes","methods","utils","2013",,
"format.object_size","Report the Space Allocated for an Object","object.size","utils","2019",,
"format.person","Persons","person","utils","2029",,
"formatOL","Format Unordered and Ordered Lists","format","utils","1969",,
"formatUL","Format Unordered and Ordered Lists","format","utils","1969",,
"getAnywhere","Retrieve an R Object, Including from a Namespace","getAnywhere","utils","1970",,
"getBioCmirrors","Select a Bioconductor Mirror","chooseBioCmirror","utils","1929",,
"getClipboardFormats","Read/Write to/from the Clipboard in MS Windows","clipboard","utils","1936",,
"getCRANmirrors","Select a CRAN Mirror","chooseCRANmirror","utils","1930",,
"getFromNamespace","Utility Functions for Developing Namespaces","getFromNamespace","utils","1971",,
"gethash","Hash Tables (Experimental)","hashtab","utils","1980",,
"getIdentification","Set the Window Title or the Statusbar of the RGui in Windows","setWindowTitle","utils","2087",,
"getParseData","Get Detailed Parse Information from Object","getParseData","utils","1972",,
"getParseText","Get Detailed Parse Information from Object","getParseData","utils","1972",,
"getS3method","Get an S3 Method","getS3method","utils","1974",,
"getSrcDirectory","Source Reference Utilities","sourceutils","utils","2091",,
"getSrcFilename","Source Reference Utilities","sourceutils","utils","2091",,
"getSrcLocation","Source Reference Utilities","sourceutils","utils","2091",,
"getSrcref","Source Reference Utilities","sourceutils","utils","2091",,
"getTxtProgressBar","Text Progress Bar","txtProgressBar","utils","2106",,
"getWindowsHandle","Get a Windows Handle","getWindowsHandle","utils","1975",,
"getWindowsHandles","Get handles of Windows in the MS Windows RGui","getWindowsHandles","utils","1976",,
"getWindowTitle","Set the Window Title or the Statusbar of the RGui in Windows","setWindowTitle","utils","2087",,
"getWinProgressBar","Progress Bars under MS Windows","winProgressBar","utils","2124",,
"glob2rx","Change Wildcard or Globbing Pattern into Regular Expression","glob2rx","utils","1977",,
"globalVariables","Declarations Used in Checking a Package","globalVariables","utils","1978",,
"hashtab","Hash Tables (Experimental)","hashtab","utils","1980",,
"hasName","Check for Name","hasName","utils","1983",,
"head","Return the First or Last Parts of an Object","head","utils","1983",,
"help","Documentation","help","utils","1986",,
"help.request","Send a Post to R-help","help.request","utils","1989",,
"help.search","Search the Help System","help.search","utils","1990",,
"help.start","Hypertext Documentation","help.start","utils","1993",,
"history","Load or Save or Display the Commands History","savehistory","utils","2082",,
"hsearch_db","Help Search Utilities","hsearch-utils","utils","1994",,
"hsearch_db_concepts","Help Search Utilities","hsearch-utils","utils","1994",,
"hsearch_db_keywords","Help Search Utilities","hsearch-utils","utils","1994",,
"INSTALL","Install Add-on Packages","INSTALL","utils","1995",,
"install.packages","Install Packages from Repositories or Local Files","install.packages","utils","1997",,
"installed.packages","Find Installed Packages","installed.packages","utils","2003",,
"is.hashtab","Hash Tables (Experimental)","hashtab","utils","1980",,
"is.relistable","Allow Re-Listing an unlist()ed Object","relist","utils","2058",,
"isS3method","Is 'method' the Name of an S3 Method?","isS3method","utils","2004",,
"isS3stdGeneric","Check if a Function Acts as an S3 Generic","isS3stdGen","utils","595",,
"length.hashtab","Hash Tables (Experimental)","hashtab","utils","1980",,
"limitedLabels","Browsing after an Error","recover","utils","2057",,
"LINK","Create Executable Programs on Unix-alikes","LINK","utils","2006",,
"loadhistory","Load or Save or Display the Commands History","savehistory","utils","2082",,
"loadRconsole","R for Windows Configuration","Rconsole","utils","1287",,
"localeToCharset","Select a Suitable Encoding Name from a Locale Name","localeToCharset","utils","2007",,
"ls.str","List Objects and their Structure","ls_str","utils","2008",,
"lsf.str","List Objects and their Structure","ls_str","utils","2008",,
"maintainer","Show Package Maintainer","maintainer","utils","2009",,
"make.packages.html","Update HTML Package List","make.packages"">make.packages","utils","62",,
"make.socket","Create a Socket Connection","make.socket","utils","2011",,
"maphash","Hash Tables (Experimental)","hashtab","utils","1980",,
